index,dt,AverageTemperature,AverageTemperatureUncertainty,Country
0,1743-11-01,4.384,2.294,Åland
12,1744-11-01,3.407,1.425,Åland
108,1752-11-01,4.767,0.816,Åland
120,1753-11-01,2.248,4.019,Åland
132,1754-11-01,2.574,2.015,Åland
144,1755-11-01,2.2840000000000003,9.648,Åland
168,1757-11-01,3.417,6.237,Åland
180,1758-11-01,2.931,10.969,Åland
192,1759-11-01,1.1409999999999998,7.096,Åland
204,1760-11-01,1.7199999999999998,4.041,Åland
216,1761-11-01,2.614,2.091,Åland
228,1762-11-01,3.859,2.93,Åland
240,1763-11-01,1.839,3.644,Åland
252,1764-11-01,1.3569999999999998,3.15,Åland
264,1765-11-01,4.085,4.62,Åland
276,1766-11-01,5.06,5.6370000000000005,Åland
288,1767-11-01,5.13,8.788,Åland
300,1768-11-01,2.524,5.441,Åland
312,1769-11-01,0.1710000000000002,1.195,Åland
324,1770-11-01,0.7969999999999997,6.608,Åland
336,1771-11-01,1.7259999999999998,5.182,Åland
348,1772-11-01,6.095,5.863,Åland
360,1773-11-01,4.098,7.55,Åland
384,1775-11-01,1.1349999999999998,6.892,Åland
396,1776-11-01,3.4160000000000004,7.246,Åland
408,1777-11-01,3.681,2.208,Åland
420,1778-11-01,1.734,4.857,Åland
432,1779-11-01,2.782,2.519,Åland
444,1780-11-01,0.1569999999999995,2.991,Åland
456,1781-11-01,4.061,2.536,Åland
468,1782-11-01,0.6099999999999999,9.815,Åland
480,1783-11-01,1.13,3.428,Åland
492,1784-11-01,3.711,2.638,Åland
504,1785-11-01,2.943,5.358,Åland
528,1787-11-01,0.2189999999999994,1.876,Åland
540,1788-11-01,2.07,3.137,Åland
552,1789-11-01,3.885,1.278,Åland
564,1790-11-01,1.7569999999999997,1.554,Åland
576,1791-11-01,2.62,2.852,Åland
588,1792-11-01,4.283,3.629,Åland
600,1793-11-01,2.3480000000000003,5.914,Åland
612,1794-11-01,3.049,3.696,Åland
624,1795-11-01,2.306,2.734,Åland
636,1796-11-01,1.954,3.654,Åland
648,1797-11-01,1.6649999999999998,3.603,Åland
660,1798-11-01,2.708,3.728,Åland
